date,county,state,fips,cases,deaths,new cases,new deaths
2020-04-24,District of Columbia,District of Columbia,11001.0,3528,153,167,14
2020-04-25,District of Columbia,District of Columbia,11001.0,3699,165,171,12
2020-04-26,District of Columbia,District of Columbia,11001.0,3841,178,142,13
2020-04-27,District of Columbia,District of Columbia,11001.0,3892,185,51,7
2020-04-28,District of Columbia,District of Columbia,11001.0,3994,190,102,5
2020-04-29,District of Columbia,District of Columbia,11001.0,4106,205,112,15
2020-04-30,District of Columbia,District of Columbia,11001.0,4323,224,217,19
2020-05-01,District of Columbia,District of Columbia,11001.0,4658,231,335,7
2020-05-02,District of Columbia,District of Columbia,11001.0,4797,240,139,9
2020-05-03,District of Columbia,District of Columbia,11001.0,5016,251,219,11
2020-05-04,District of Columbia,District of Columbia,11001.0,5170,258,154,7
2020-05-05,District of Columbia,District of Columbia,11001.0,5322,264,152,6
2020-05-06,District of Columbia,District of Columbia,11001.0,5461,277,139,13
2020-05-07,District of Columbia,District of Columbia,11001.0,5654,285,193,8
2020-05-08,District of Columbia,District of Columbia,11001.0,5899,304,245,19
2020-05-09,District of Columbia,District of Columbia,11001.0,6102,311,203,7
2020-05-10,District of Columbia,District of Columbia,11001.0,6272,323,170,12
2020-05-11,District of Columbia,District of Columbia,11001.0,6389,328,117,5
2020-05-12,District of Columbia,District of Columbia,11001.0,6485,336,96,8
2020-05-13,District of Columbia,District of Columbia,11001.0,6584,350,99,14
2020-05-14,District of Columbia,District of Columbia,11001.0,6736,358,152,8
2020-05-15,District of Columbia,District of Columbia,11001.0,6871,368,135,10
2020-05-16,District of Columbia,District of Columbia,11001.0,7042,375,171,7
2020-05-17,District of Columbia,District of Columbia,11001.0,7123,383,81,8
2020-05-18,District of Columbia,District of Columbia,11001.0,7270,392,147,9
2020-05-19,District of Columbia,District of Columbia,11001.0,7434,400,164,8
2020-05-20,District of Columbia,District of Columbia,11001.0,7551,407,117,7
2020-05-21,District of Columbia,District of Columbia,11001.0,7788,412,237,5
2020-05-22,District of Columbia,District of Columbia,11001.0,7893,418,105,6
2020-05-23,District of Columbia,District of Columbia,11001.0,7966,427,73,9
2020-05-24,District of Columbia,District of Columbia,11001.0,8110,432,144,5
2020-05-25,District of Columbia,District of Columbia,11001.0,8225,440,115,8
2020-05-26,District of Columbia,District of Columbia,11001.0,8334,440,109,0
2020-05-27,District of Columbia,District of Columbia,11001.0,8406,445,72,5
2020-05-28,District of Columbia,District of Columbia,11001.0,8492,453,86,8
2020-05-29,District of Columbia,District of Columbia,11001.0,8538,460,46,7
2020-05-30,District of Columbia,District of Columbia,11001.0,8717,462,179,2
2020-05-31,District of Columbia,District of Columbia,11001.0,8801,466,84,4
2020-06-01,District of Columbia,District of Columbia,11001.0,8857,468,56,2
2020-06-02,District of Columbia,District of Columbia,11001.0,8886,470,29,2
2020-06-03,District of Columbia,District of Columbia,11001.0,9016,473,130,3
2020-06-04,District of Columbia,District of Columbia,11001.0,9120,475,104,2
2020-06-05,District of Columbia,District of Columbia,11001.0,9199,479,79,4
2020-06-06,District of Columbia,District of Columbia,11001.0,9269,483,70,4
2020-06-07,District of Columbia,District of Columbia,11001.0,9332,489,63,6
2020-06-08,District of Columbia,District of Columbia,11001.0,9389,491,57,2
2020-06-09,District of Columbia,District of Columbia,11001.0,9474,495,85,4
2020-06-10,District of Columbia,District of Columbia,11001.0,9537,499,63,4
2020-06-11,District of Columbia,District of Columbia,11001.0,9589,502,52,3
2020-06-12,District of Columbia,District of Columbia,11001.0,9654,506,65,4
2020-06-13,District of Columbia,District of Columbia,11001.0,9709,511,55,5
2020-06-14,District of Columbia,District of Columbia,11001.0,9767,515,58,4
2020-06-15,District of Columbia,District of Columbia,11001.0,9799,515,32,0
2020-06-16,District of Columbia,District of Columbia,11001.0,9818,520,19,5
2020-06-17,District of Columbia,District of Columbia,11001.0,9847,523,29,3
2020-06-18,District of Columbia,District of Columbia,11001.0,9903,527,56,4
2020-06-19,District of Columbia,District of Columbia,11001.0,9952,530,49,3
2020-06-20,District of Columbia,District of Columbia,11001.0,9984,531,32,1
2020-06-21,District of Columbia,District of Columbia,11001.0,10020,533,36,2
2020-06-22,District of Columbia,District of Columbia,11001.0,10058,535,38,2
2020-06-23,District of Columbia,District of Columbia,11001.0,10094,537,36,2
2020-06-24,District of Columbia,District of Columbia,11001.0,10128,541,34,4
2020-06-25,District of Columbia,District of Columbia,11001.0,10159,543,31,2
2020-06-26,District of Columbia,District of Columbia,11001.0,10185,546,26,3
2020-06-27,District of Columbia,District of Columbia,11001.0,10216,548,31,2
2020-06-28,District of Columbia,District of Columbia,11001.0,10248,550,32,2
2020-06-29,District of Columbia,District of Columbia,11001.0,10292,551,44,1
2020-06-30,District of Columbia,District of Columbia,11001.0,10327,551,35,0
2020-07-01,District of Columbia,District of Columbia,11001.0,10365,553,38,2
2020-07-02,District of Columbia,District of Columbia,11001.0,10390,554,25,1
2020-07-03,District of Columbia,District of Columbia,11001.0,10435,555,45,1
2020-07-04,District of Columbia,District of Columbia,11001.0,10447,557,12,2
2020-07-05,District of Columbia,District of Columbia,11001.0,10482,559,35,2
2020-07-06,District of Columbia,District of Columbia,11001.0,10515,561,33,2
2020-07-07,District of Columbia,District of Columbia,11001.0,10569,561,54,0
2020-07-08,District of Columbia,District of Columbia,11001.0,10642,564,73,3
2020-07-09,District of Columbia,District of Columbia,11001.0,10679,568,37,4
2020-03-10,Alachua,Florida,12001.0,1,0,1,0
2020-03-11,Alachua,Florida,12001.0,1,0,0,0
2020-03-12,Alachua,Florida,12001.0,2,0,1,0
2020-03-13,Alachua,Florida,12001.0,3,0,1,0
2020-03-14,Alachua,Florida,12001.0,3,0,0,0
2020-03-15,Alachua,Florida,12001.0,4,0,1,0
2020-03-16,Alachua,Florida,12001.0,4,0,0,0
2020-03-17,Alachua,Florida,12001.0,6,0,2,0
2020-03-18,Alachua,Florida,12001.0,7,0,1,0
2020-03-19,Alachua,Florida,12001.0,11,0,4,0
2020-03-20,Alachua,Florida,12001.0,15,0,4,0
2020-03-21,Alachua,Florida,12001.0,25,0,10,0
2020-03-22,Alachua,Florida,12001.0,35,0,10,0
2020-03-23,Alachua,Florida,12001.0,37,0,2,0
2020-03-24,Alachua,Florida,12001.0,37,0,0,0
2020-03-25,Alachua,Florida,12001.0,46,0,9,0
2020-03-26,Alachua,Florida,12001.0,53,0,7,0
2020-03-27,Alachua,Florida,12001.0,60,0,7,0
2020-03-28,Alachua,Florida,12001.0,68,0,8,0
2020-03-29,Alachua,Florida,12001.0,72,0,4,0
2020-03-30,Alachua,Florida,12001.0,80,0,8,0
2020-03-31,Alachua,Florida,12001.0,87,0,7,0
2020-04-01,Alachua,Florida,12001.0,92,0,5,0
2020-04-02,Alachua,Florida,12001.0,95,0,3,0
2020-04-03,Alachua,Florida,12001.0,110,0,15,0
2020-04-04,Alachua,Florida,12001.0,116,0,6,0
2020-04-05,Alachua,Florida,12001.0,123,0,7,0
2020-04-06,Alachua,Florida,12001.0,133,0,10,0
2020-04-07,Alachua,Florida,12001.0,139,0,6,0
2020-04-08,Alachua,Florida,12001.0,144,0,5,0
2020-04-09,Alachua,Florida,12001.0,154,0,10,0
2020-04-10,Alachua,Florida,12001.0,167,0,13,0
2020-04-11,Alachua,Florida,12001.0,174,0,7,0
2020-04-12,Alachua,Florida,12001.0,183,0,9,0
2020-04-13,Alachua,Florida,12001.0,187,0,4,0
2020-04-14,Alachua,Florida,12001.0,195,0,8,0
2020-04-15,Alachua,Florida,12001.0,196,0,1,0
2020-04-16,Alachua,Florida,12001.0,200,0,4,0
2020-04-17,Alachua,Florida,12001.0,201,0,1,0
2020-04-18,Alachua,Florida,12001.0,205,0,4,0
2020-04-19,Alachua,Florida,12001.0,210,0,5,0
2020-04-20,Alachua,Florida,12001.0,218,0,8,0
2020-04-21,Alachua,Florida,12001.0,224,1,6,1
2020-04-22,Alachua,Florida,12001.0,227,1,3,0
2020-04-23,Alachua,Florida,12001.0,231,1,4,0
2020-04-24,Alachua,Florida,12001.0,244,1,13,0
2020-04-25,Alachua,Florida,12001.0,245,1,1,0
2020-04-26,Alachua,Florida,12001.0,251,2,6,1
2020-04-27,Alachua,Florida,12001.0,254,2,3,0
2020-04-28,Alachua,Florida,12001.0,255,2,1,0
2020-04-29,Alachua,Florida,12001.0,262,2,7,0
2020-04-30,Alachua,Florida,12001.0,267,5,5,3
2020-05-01,Alachua,Florida,12001.0,273,5,6,0
2020-05-02,Alachua,Florida,12001.0,275,5,2,0
2020-05-03,Alachua,Florida,12001.0,286,5,11,0
2020-05-04,Alachua,Florida,12001.0,289,5,3,0
2020-05-05,Alachua,Florida,12001.0,289,5,0,0
2020-05-06,Alachua,Florida,12001.0,295,5,6,0
2020-05-07,Alachua,Florida,12001.0,300,5,5,0
2020-05-08,Alachua,Florida,12001.0,306,5,6,0
2020-05-09,Alachua,Florida,12001.0,308,5,2,0
2020-05-10,Alachua,Florida,12001.0,312,5,4,0
2020-05-11,Alachua,Florida,12001.0,320,5,8,0
2020-05-12,Alachua,Florida,12001.0,324,5,4,0
2020-05-13,Alachua,Florida,12001.0,326,5,2,0
2020-05-14,Alachua,Florida,12001.0,330,5,4,0
2020-05-15,Alachua,Florida,12001.0,330,6,0,1
2020-05-16,Alachua,Florida,12001.0,329,7,-1,1
2020-05-17,Alachua,Florida,12001.0,332,7,3,0
2020-05-18,Alachua,Florida,12001.0,337,7,5,0
2020-05-19,Alachua,Florida,12001.0,339,7,2,0
2020-05-20,Alachua,Florida,12001.0,344,7,5,0
2020-05-21,Alachua,Florida,12001.0,346,7,2,0
2020-05-22,Alachua,Florida,12001.0,354,7,8,0
2020-05-23,Alachua,Florida,12001.0,355,7,1,0
2020-05-24,Alachua,Florida,12001.0,361,7,6,0
2020-05-25,Alachua,Florida,12001.0,365,7,4,0
2020-05-26,Alachua,Florida,12001.0,370,7,5,0
2020-05-27,Alachua,Florida,12001.0,370,7,0,0
2020-05-28,Alachua,Florida,12001.0,372,7,2,0
2020-05-29,Alachua,Florida,12001.0,378,7,6,0
2020-05-30,Alachua,Florida,12001.0,379,7,1,0
2020-05-31,Alachua,Florida,12001.0,380,7,1,0
2020-06-01,Alachua,Florida,12001.0,382,7,2,0
2020-06-02,Alachua,Florida,12001.0,382,7,0,0
2020-06-03,Alachua,Florida,12001.0,383,8,1,1
2020-06-04,Alachua,Florida,12001.0,387,8,4,0
2020-06-05,Alachua,Florida,12001.0,392,8,5,0
2020-06-06,Alachua,Florida,12001.0,396,8,4,0
2020-06-07,Alachua,Florida,12001.0,399,8,3,0
2020-06-08,Alachua,Florida,12001.0,399,8,0,0
2020-06-09,Alachua,Florida,12001.0,404,8,5,0
2020-06-10,Alachua,Florida,12001.0,412,8,8,0
2020-06-11,Alachua,Florida,12001.0,443,9,31,1
2020-06-12,Alachua,Florida,12001.0,506,10,63,1
2020-06-13,Alachua,Florida,12001.0,531,10,25,0
2020-06-14,Alachua,Florida,12001.0,541,10,10,0
2020-06-15,Alachua,Florida,12001.0,551,10,10,0
2020-06-16,Alachua,Florida,12001.0,564,10,13,0
2020-06-17,Alachua,Florida,12001.0,580,10,16,0
2020-06-18,Alachua,Florida,12001.0,600,11,20,1
2020-06-19,Alachua,Florida,12001.0,633,11,33,0
2020-06-20,Alachua,Florida,12001.0,673,11,40,0
2020-06-21,Alachua,Florida,12001.0,716,11,43,0
2020-06-22,Alachua,Florida,12001.0,738,11,22,0
2020-06-23,Alachua,Florida,12001.0,760,11,22,0
2020-06-24,Alachua,Florida,12001.0,807,11,47,0
2020-06-25,Alachua,Florida,12001.0,863,11,56,0
2020-06-26,Alachua,Florida,12001.0,945,12,82,1
2020-06-27,Alachua,Florida,12001.0,1033,12,88,0
2020-06-28,Alachua,Florida,12001.0,1124,12,91,0
2020-06-29,Alachua,Florida,12001.0,1159,12,35,0
2020-06-30,Alachua,Florida,12001.0,1197,12,38,0
2020-07-01,Alachua,Florida,12001.0,1245,12,48,0
2020-07-02,Alachua,Florida,12001.0,1332,12,87,0
2020-07-03,Alachua,Florida,12001.0,1423,12,91,0
2020-07-04,Alachua,Florida,12001.0,1506,12,83,0
2020-07-05,Alachua,Florida,12001.0,1578,12,72,0
2020-07-06,Alachua,Florida,12001.0,1636,12,58,0
2020-07-07,Alachua,Florida,12001.0,1701,12,65,0
2020-07-08,Alachua,Florida,12001.0,1792,12,91,0
2020-07-09,Alachua,Florida,12001.0,1871,12,79,0
2020-03-15,Baker,Florida,12003.0,1,0,1,0
2020-03-16,Baker,Florida,12003.0,1,0,0,0
2020-03-17,Baker,Florida,12003.0,1,0,0,0
2020-03-18,Baker,Florida,12003.0,1,0,0,0
2020-03-19,Baker,Florida,12003.0,1,0,0,0
2020-03-20,Baker,Florida,12003.0,1,0,0,0
2020-03-21,Baker,Florida,12003.0,1,0,0,0
2020-03-22,Baker,Florida,12003.0,2,0,1,0
2020-03-23,Baker,Florida,12003.0,3,0,1,0
2020-03-24,Baker,Florida,12003.0,4,0,1,0
2020-03-25,Baker,Florida,12003.0,5,0,1,0
2020-03-26,Baker,Florida,12003.0,5,0,0,0
2020-03-27,Baker,Florida,12003.0,7,0,2,0
2020-03-28,Baker,Florida,12003.0,7,0,0,0
2020-03-29,Baker,Florida,12003.0,8,0,1,0
2020-03-30,Baker,Florida,12003.0,8,0,0,0
2020-03-31,Baker,Florida,12003.0,9,0,1,0
2020-04-01,Baker,Florida,12003.0,9,0,0,0
2020-04-02,Baker,Florida,12003.0,11,0,2,0
2020-04-03,Baker,Florida,12003.0,11,0,0,0
2020-04-04,Baker,Florida,12003.0,11,0,0,0
2020-04-05,Baker,Florida,12003.0,12,0,1,0
2020-04-06,Baker,Florida,12003.0,13,0,1,0
2020-04-07,Baker,Florida,12003.0,15,1,2,1
2020-04-08,Baker,Florida,12003.0,15,1,0,0
2020-04-09,Baker,Florida,12003.0,16,2,1,1
2020-04-10,Baker,Florida,12003.0,16,2,0,0
2020-04-11,Baker,Florida,12003.0,17,2,1,0
2020-04-12,Baker,Florida,12003.0,17,2,0,0
2020-04-13,Baker,Florida,12003.0,17,2,0,0
2020-04-14,Baker,Florida,12003.0,17,2,0,0
2020-04-15,Baker,Florida,12003.0,17,2,0,0
2020-04-16,Baker,Florida,12003.0,17,2,0,0
2020-04-17,Baker,Florida,12003.0,17,3,0,1
2020-04-18,Baker,Florida,12003.0,17,3,0,0
2020-04-19,Baker,Florida,12003.0,17,3,0,0
2020-04-20,Baker,Florida,12003.0,17,3,0,0
2020-04-21,Baker,Florida,12003.0,17,3,0,0
2020-04-22,Baker,Florida,12003.0,17,3,0,0
2020-04-23,Baker,Florida,12003.0,19,3,2,0
2020-04-24,Baker,Florida,12003.0,20,3,1,0
2020-04-25,Baker,Florida,12003.0,20,3,0,0
2020-04-26,Baker,Florida,12003.0,20,3,0,0
2020-04-27,Baker,Florida,12003.0,20,3,0,0
2020-04-28,Baker,Florida,12003.0,20,3,0,0
2020-04-29,Baker,Florida,12003.0,20,3,0,0
2020-04-30,Baker,Florida,12003.0,20,3,0,0
2020-05-01,Baker,Florida,12003.0,22,3,2,0
2020-05-02,Baker,Florida,12003.0,22,3,0,0
2020-05-03,Baker,Florida,12003.0,22,3,0,0
2020-05-04,Baker,Florida,12003.0,22,3,0,0
2020-05-05,Baker,Florida,12003.0,22,3,0,0
2020-05-06,Baker,Florida,12003.0,22,3,0,0
2020-05-07,Baker,Florida,12003.0,22,3,0,0
2020-05-08,Baker,Florida,12003.0,24,3,2,0
2020-05-09,Baker,Florida,12003.0,24,3,0,0
2020-05-10,Baker,Florida,12003.0,25,3,1,0
2020-05-11,Baker,Florida,12003.0,25,3,0,0
2020-05-12,Baker,Florida,12003.0,25,3,0,0
2020-05-13,Baker,Florida,12003.0,26,3,1,0
2020-05-14,Baker,Florida,12003.0,26,3,0,0
2020-05-15,Baker,Florida,12003.0,26,3,0,0
2020-05-16,Baker,Florida,12003.0,26,3,0,0
2020-05-17,Baker,Florida,12003.0,26,3,0,0
2020-05-18,Baker,Florida,12003.0,26,3,0,0
2020-05-19,Baker,Florida,12003.0,26,3,0,0
2020-05-20,Baker,Florida,12003.0,26,3,0,0
2020-05-21,Baker,Florida,12003.0,26,3,0,0
2020-05-22,Baker,Florida,12003.0,26,3,0,0
2020-05-23,Baker,Florida,12003.0,27,3,1,0
2020-05-24,Baker,Florida,12003.0,27,3,0,0
2020-05-25,Baker,Florida,12003.0,27,3,0,0
2020-05-26,Baker,Florida,12003.0,27,3,0,0
2020-05-27,Baker,Florida,12003.0,29,3,2,0
2020-05-28,Baker,Florida,12003.0,28,3,-1,0
2020-05-29,Baker,Florida,12003.0,28,3,0,0
2020-05-30,Baker,Florida,12003.0,29,3,1,0
2020-05-31,Baker,Florida,12003.0,29,3,0,0
2020-06-01,Baker,Florida,12003.0,29,3,0,0
2020-06-02,Baker,Florida,12003.0,29,3,0,0
2020-06-03,Baker,Florida,12003.0,29,4,0,1
2020-06-04,Baker,Florida,12003.0,29,4,0,0
2020-06-05,Baker,Florida,12003.0,29,4,0,0
2020-06-06,Baker,Florida,12003.0,29,4,0,0
2020-06-07,Baker,Florida,12003.0,29,4,0,0
2020-06-08,Baker,Florida,12003.0,29,4,0,0
2020-06-09,Baker,Florida,12003.0,29,4,0,0
2020-06-10,Baker,Florida,12003.0,29,4,0,0
2020-06-11,Baker,Florida,12003.0,29,4,0,0
2020-06-12,Baker,Florida,12003.0,30,4,1,0
2020-06-13,Baker,Florida,12003.0,30,4,0,0
2020-06-14,Baker,Florida,12003.0,30,4,0,0
2020-06-15,Baker,Florida,12003.0,30,4,0,0
2020-06-16,Baker,Florida,12003.0,34,4,4,0
2020-06-17,Baker,Florida,12003.0,35,4,1,0
2020-06-18,Baker,Florida,12003.0,35,4,0,0
2020-06-19,Baker,Florida,12003.0,39,4,4,0
2020-06-20,Baker,Florida,12003.0,39,4,0,0
2020-06-21,Baker,Florida,12003.0,41,4,2,0
2020-06-22,Baker,Florida,12003.0,44,4,3,0
2020-06-23,Baker,Florida,12003.0,42,4,-2,0
2020-06-24,Baker,Florida,12003.0,42,4,0,0
2020-06-25,Baker,Florida,12003.0,44,4,2,0
2020-06-26,Baker,Florida,12003.0,47,4,3,0
2020-06-27,Baker,Florida,12003.0,51,4,4,0
2020-06-28,Baker,Florida,12003.0,55,4,4,0
2020-06-29,Baker,Florida,12003.0,57,4,2,0
2020-06-30,Baker,Florida,12003.0,63,4,6,0
2020-07-01,Baker,Florida,12003.0,72,4,9,0
2020-07-02,Baker,Florida,12003.0,80,4,8,0
2020-07-03,Baker,Florida,12003.0,84,4,4,0
2020-07-04,Baker,Florida,12003.0,98,4,14,0
2020-07-05,Baker,Florida,12003.0,102,4,4,0
2020-07-06,Baker,Florida,12003.0,106,4,4,0
2020-07-07,Baker,Florida,12003.0,110,4,4,0
2020-07-08,Baker,Florida,12003.0,120,4,10,0
2020-07-09,Baker,Florida,12003.0,127,4,7,0
2020-03-21,Bay,Florida,12005.0,1,0,1,0
2020-03-22,Bay,Florida,12005.0,1,0,0,0
2020-03-23,Bay,Florida,12005.0,1,0,0,0
2020-03-24,Bay,Florida,12005.0,1,0,0,0
2020-03-25,Bay,Florida,12005.0,3,0,2,0
2020-03-26,Bay,Florida,12005.0,3,0,0,0
2020-03-27,Bay,Florida,12005.0,4,0,1,0
2020-03-28,Bay,Florida,12005.0,5,0,1,0
2020-03-29,Bay,Florida,12005.0,6,0,1,0
2020-03-30,Bay,Florida,12005.0,6,0,0,0
2020-03-31,Bay,Florida,12005.0,8,0,2,0
2020-04-01,Bay,Florida,12005.0,13,0,5,0
2020-04-02,Bay,Florida,12005.0,15,0,2,0
2020-04-03,Bay,Florida,12005.0,18,0,3,0
2020-04-04,Bay,Florida,12005.0,23,1,5,1
2020-04-05,Bay,Florida,12005.0,24,1,1,0
2020-04-06,Bay,Florida,12005.0,24,1,0,0
2020-04-07,Bay,Florida,12005.0,25,1,1,0
2020-04-08,Bay,Florida,12005.0,28,1,3,0
2020-04-09,Bay,Florida,12005.0,34,1,6,0
2020-04-10,Bay,Florida,12005.0,36,1,2,0
2020-04-11,Bay,Florida,12005.0,36,1,0,0
2020-04-12,Bay,Florida,12005.0,37,1,1,0
2020-04-13,Bay,Florida,12005.0,39,1,2,0
2020-04-14,Bay,Florida,12005.0,38,2,-1,1
2020-04-15,Bay,Florida,12005.0,39,2,1,0
2020-04-16,Bay,Florida,12005.0,42,2,3,0
2020-04-17,Bay,Florida,12005.0,43,2,1,0
2020-04-18,Bay,Florida,12005.0,48,2,5,0
2020-04-19,Bay,Florida,12005.0,55,2,7,0
2020-04-20,Bay,Florida,12005.0,57,2,2,0
2020-04-21,Bay,Florida,12005.0,58,2,1,0
2020-04-22,Bay,Florida,12005.0,59,2,1,0
2020-04-23,Bay,Florida,12005.0,60,2,1,0
2020-04-24,Bay,Florida,12005.0,63,2,3,0
2020-04-25,Bay,Florida,12005.0,63,2,0,0
2020-04-26,Bay,Florida,12005.0,65,2,2,0
2020-04-27,Bay,Florida,12005.0,68,2,3,0
2020-04-28,Bay,Florida,12005.0,70,2,2,0
2020-04-29,Bay,Florida,12005.0,70,2,0,0
2020-04-30,Bay,Florida,12005.0,72,3,2,1
2020-05-01,Bay,Florida,12005.0,72,3,0,0
2020-05-02,Bay,Florida,12005.0,75,3,3,0
2020-05-03,Bay,Florida,12005.0,76,3,1,0
2020-05-04,Bay,Florida,12005.0,76,3,0,0
2020-05-05,Bay,Florida,12005.0,76,3,0,0
2020-05-06,Bay,Florida,12005.0,76,3,0,0
2020-05-07,Bay,Florida,12005.0,76,3,0,0
2020-05-08,Bay,Florida,12005.0,76,3,0,0
2020-05-09,Bay,Florida,12005.0,76,3,0,0
2020-05-10,Bay,Florida,12005.0,76,3,0,0
2020-05-11,Bay,Florida,12005.0,76,3,0,0
2020-05-12,Bay,Florida,12005.0,77,3,1,0
2020-05-13,Bay,Florida,12005.0,77,3,0,0
2020-05-14,Bay,Florida,12005.0,78,3,1,0
2020-05-15,Bay,Florida,12005.0,80,3,2,0
2020-05-16,Bay,Florida,12005.0,83,3,3,0
2020-05-17,Bay,Florida,12005.0,84,3,1,0
2020-05-18,Bay,Florida,12005.0,85,3,1,0
2020-05-19,Bay,Florida,12005.0,86,3,1,0
2020-05-20,Bay,Florida,12005.0,86,3,0,0
2020-05-21,Bay,Florida,12005.0,87,3,1,0
2020-05-22,Bay,Florida,12005.0,92,3,5,0
2020-05-23,Bay,Florida,12005.0,94,3,2,0
2020-05-24,Bay,Florida,12005.0,95,3,1,0
2020-05-25,Bay,Florida,12005.0,97,3,2,0
2020-05-26,Bay,Florida,12005.0,97,3,0,0
2020-05-27,Bay,Florida,12005.0,97,3,0,0
2020-05-28,Bay,Florida,12005.0,97,3,0,0
2020-05-29,Bay,Florida,12005.0,98,3,1,0
2020-05-30,Bay,Florida,12005.0,97,3,-1,0
2020-05-31,Bay,Florida,12005.0,98,3,1,0
2020-06-01,Bay,Florida,12005.0,100,3,2,0
2020-06-02,Bay,Florida,12005.0,99,3,-1,0
2020-06-03,Bay,Florida,12005.0,105,3,6,0
2020-06-04,Bay,Florida,12005.0,111,4,6,1
2020-06-05,Bay,Florida,12005.0,115,4,4,0
2020-06-06,Bay,Florida,12005.0,123,4,8,0
2020-06-07,Bay,Florida,12005.0,130,4,7,0
2020-06-08,Bay,Florida,12005.0,132,4,2,0
2020-06-09,Bay,Florida,12005.0,133,4,1,0
2020-06-10,Bay,Florida,12005.0,135,4,2,0
2020-06-11,Bay,Florida,12005.0,135,4,0,0
2020-06-12,Bay,Florida,12005.0,139,4,4,0
2020-06-13,Bay,Florida,12005.0,141,4,2,0
2020-06-14,Bay,Florida,12005.0,145,4,4,0
2020-06-15,Bay,Florida,12005.0,153,4,8,0
2020-06-16,Bay,Florida,12005.0,157,4,4,0
2020-06-17,Bay,Florida,12005.0,161,4,4,0
2020-06-18,Bay,Florida,12005.0,167,4,6,0
2020-06-19,Bay,Florida,12005.0,175,4,8,0
2020-06-20,Bay,Florida,12005.0,188,4,13,0
2020-06-21,Bay,Florida,12005.0,190,4,2,0
2020-06-22,Bay,Florida,12005.0,205,4,15,0
2020-06-23,Bay,Florida,12005.0,230,4,25,0
2020-06-24,Bay,Florida,12005.0,240,4,10,0
2020-06-25,Bay,Florida,12005.0,248,4,8,0
2020-06-26,Bay,Florida,12005.0,287,4,39,0
2020-06-27,Bay,Florida,12005.0,305,4,18,0
